Hora,Packet loss (%),Round trip (ms)
2011-03-26T07:10:19+00:00,0.0,60.625
2011-03-26T07:11:20+00:00,0.0,60.551
2011-03-26T07:12:20+00:00,0.0,60.471
2011-03-26T07:13:20+00:00,0.0,60.562
2011-03-26T07:14:20+00:00,0.0,60.404
2011-03-26T07:15:19+00:00,0.0,60.558
2011-03-26T07:16:19+00:00,0.0,60.56
2011-03-26T07:17:20+00:00,0.0,60.526
2011-03-26T07:18:20+00:00,0.0,60.656
2011-03-26T07:19:20+00:00,0.0,60.733
2011-03-26T07:20:20+00:00,0.0,60.448
2011-03-26T07:21:20+00:00,0.0,60.611
2011-03-26T07:22:19+00:00,0.0,60.573
2011-03-26T07:23:20+00:00,0.0,60.609
2011-03-26T07:24:20+00:00,0.0,60.677
2011-03-26T07:25:20+00:00,0.0,60.532
2011-03-26T07:26:19+00:00,0.0,60.552
2011-03-26T07:27:20+00:00,0.0,60.625
2011-03-26T07:28:19+00:00,0.0,60.627
2011-03-26T07:29:20+00:00,0.0,60.734
2011-03-26T07:30:20+00:00,0.0,60.594
2011-03-26T07:31:20+00:00,0.0,60.533
2011-03-26T07:32:19+00:00,0.0,60.3
2011-03-26T07:33:19+00:00,0.0,60.532
2011-03-26T07:34:20+00:00,0.0,60.648
2011-03-26T07:35:20+00:00,0.0,60.71
2011-03-26T07:36:20+00:00,0.0,60.487
2011-03-26T07:37:20+00:00,0.0,60.598
2011-03-26T07:38:19+00:00,0.0,60.571
2011-03-26T07:39:20+00:00,0.0,60.47
2011-03-26T07:40:20+00:00,0.0,60.425
2011-03-26T07:41:20+00:00,0.0,60.458
2011-03-26T07:42:20+00:00,0.0,60.513
2011-03-26T07:43:20+00:00,0.0,61.287
2011-03-26T07:44:19+00:00,0.0,60.521
2011-03-26T07:45:20+00:00,0.0,61.201
2011-03-26T07:46:20+00:00,0.0,60.695
2011-03-26T07:47:20+00:00,0.0,60.491
2011-03-26T07:48:20+00:00,0.0,60.585
2011-03-26T07:49:19+00:00,0.0,60.512
2011-03-26T07:50:19+00:00,0.0,60.686
2011-03-26T07:51:20+00:00,0.0,60.633
2011-03-26T07:52:21+00:00,10.0,60.701
2011-03-26T07:53:20+00:00,0.0,60.524
2011-03-26T07:54:19+00:00,0.0,60.565
2011-03-26T07:55:20+00:00,0.0,60.572
2011-03-26T07:56:20+00:00,0.0,60.472
2011-03-26T07:57:20+00:00,0.0,60.611
2011-03-26T07:58:20+00:00,0.0,60.587
2011-03-26T07:59:20+00:00,0.0,60.769
2011-03-26T08:00:19+00:00,0.0,60.6
2011-03-26T08:01:20+00:00,0.0,60.455
2011-03-26T08:02:20+00:00,0.0,60.58
2011-03-26T08:03:21+00:00,0.0,60.489
2011-03-26T08:04:19+00:00,0.0,60.232
2011-03-26T08:05:20+00:00,0.0,60.6
2011-03-26T08:06:20+00:00,0.0,60.716
2011-03-26T08:07:20+00:00,0.0,60.567
2011-03-26T08:08:20+00:00,0.0,60.664
2011-03-26T08:09:20+00:00,0.0,60.522
2011-03-26T08:10:19+00:00,0.0,60.451
2011-03-26T08:11:20+00:00,0.0,60.479
2011-03-26T08:12:20+00:00,0.0,60.61
2011-03-26T08:13:20+00:00,0.0,60.467
2011-03-26T08:14:20+00:00,0.0,60.828
